"R0000100","R0069300","R0069400","R0069600","R0070400","R0070500","R0074300","R0357900","R0358300","R0504200","R0515100","R0536300","R0536401","R0536402","R1205300","R1205400","R1211000","R1217500","R1482600","R9788600","R9788700","R9788800","R9788900","R9793100","R9864300","R9871900"
53,6,1,1,1,-2,1,0,0,-4,-4,2,4,1984,1,4,1,1,1,2,2,2,7,-3,250,266
54,2,2,2,1,1,3,0,0,-4,-4,2,12,1984,8,5,4,1,1,-4,-4,-4,-4,-4,-4,-4
55,20,1,3,3,1,-4,0,0,-4,100,2,2,1981,1,8,2,1,2,-4,-4,-4,-4,-4,-4,-4
56,7,2,2,3,3,3,0,1,-4,-4,2,2,1982,1,4,4,1,4,2,2,1,8,-3,400,344
57,1,1,1,1,1,-4,0,-1,-4,-4,1,12,1982,1,5,3,1,1,1,2,2,4,-3,400,298
58,1,1,1,1,1,1,1,0,-4,-4,1,11,1983,1,4,1,1,1,-4,-4,-4,-4,-4,-4,-4
59,5,2,2,1,1,-4,0,0,-4,100,2,4,1981,9,3,1,1,1,-3,-3,-3,8,3,-6,-7
60,1,2,3,1,1,-4,0,0,-4,-4,1,1,1984,2,5,2,1,4,2,2,2,5,4,300,297
61,0,4,1,4,2,5,0,0,-4,-4,2,5,1983,4,4,1,1,1,2,2,2,8,-3,-6,-7
62,0,1,4,2,1,-4,0,0,3,95,1,3,1980,1,4,4,1,1,2,2,2,4,-3,400,203
63,3,2,2,4,1,0,0,0,3,-4,2,10,1984,1,4,3,1,1,2,2,2,4,3,300,253
64,1,3,3,4,3,-4,0,0,3,50,1,3,1980,1,3,1,1,1,2,2,2,11,3,-6,-7
65,0,2,1,3,1,5,0,0,-4,-4,1,4,1984,1,8,1,1,1,2,2,2,10,-3,200,238
66,0,1,2,3,1,-4,0,1,-4,100,1,10,1980,10,7,2,1,1,2,2,2,4,3,450,357
67,2,2,1,3,1,-4,0,1,-4,100,1,11,1980,4,7,1,1,1,2,2,2,8,1,300,231
68,0,1,1,3,1,-4,0,0,-4,100,1,1,1981,10,7,1,1,1,2,2,2,11,1,528,86
69,2,2,2,2,1,-4,0,0,-4,100,2,7,1981,1,5,1,1,1,2,2,2,8,5,-6,-7
70,2,2,2,2,2,-4,0,1,-4,-4,1,8,1982,1,5,1,1,1,-3,-3,-3,8,5,200,236
71,0,2,1,3,1,-4,0,1,-4,100,1,1,1980,8,2,2,1,1,2,2,2,6,-3,500,254
72,3,2,2,2,2,3,1,0,-4,-4,2,4,1982,1,5,4,1,1,-4,-4,-4,-4,-4,-4,-4
73,2,3,3,1,1,1,0,0,-4,-4,1,10,1984,1,5,1,1,1,2,2,1,8,4,-6,-7
74,0,1,4,1,1,1,0,0,-4,-4,1,7,1983,1,4,3,1,4,-4,-4,-4,-4,-4,-4,-4
75,0,2,4,2,1,1,0,0,-4,-4,1,1,1982,5,3,1,1,4,2,1,2,7,5,-6,-7
76,2,1,4,-2,2,-4,0,0,-4,-4,1,1,1982,5,3,4,1,4,2,2,1,8,-3,-8,-8
77,8,1,3,1,1,-4,0,0,-4,-4,2,11,1984,1,4,2,1,2,-4,-4,-4,-4,-4,-4,-4
78,-2,2,1,3,-2,-4,0,0,-4,-2,2,7,1981,4,2,1,1,4,2,2,2,15,-3,300,145
79,7,1,3,1,1,3,0,1,-4,-4,1,12,1983,5,4,2,1,2,-3,-3,-3,3,-3,100,244
80,10,1,3,2,-2,-4,1,0,-4,100,1,6,1981,4,4,1,1,1,-4,-4,-4,-4,-4,-4,-4
81,2,3,1,4,5,0,0,1,-4,-4,2,1,1984,4,4,1,1,1,-4,-4,-4,-4,-4,-4,-4
82,-2,2,4,1,1,3,0,0,-4,-4,1,7,1984,4,5,1,1,2,-3,-3,-3,10,3,400,248
83,-2,2,3,-2,-2,-4,0,0,-4,-2,1,9,1981,4,5,1,1,2,-4,-4,-4,-4,-4,-4,-4
84,2,3,3,2,-2,2,0,0,-4,-4,2,2,1984,4,5,1,1,2,-3,-3,-3,8,2,300,308
85,5,2,3,1,1,1,0,0,-4,-4,1,2,1984,4,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
86,18,3,1,4,3,-4,1,1,-4,0,2,10,1980,1,9,1,1,4,2,2,1,12,-3,350,276
87,5,2,1,1,1,0,0,0,-4,-4,1,5,1984,1,4,2,1,2,-4,-4,-4,-4,-4,-4,-4
88,6,2,2,3,3,-4,0,0,-4,-3,1,1,1981,1,5,1,1,4,-4,-4,-4,-4,-4,-4,-4
89,4,1,4,4,-2,-4,0,0,-4,100,1,11,1981,1,8,1,1,4,2,2,1,8,-3,-6,-7
90,0,2,1,5,-2,-4,0,0,-4,-2,1,11,1981,1,4,1,1,2,2,2,2,8,-3,-6,-7
91,5,2,4,5,1,-4,0,0,-4,-4,2,9,1982,1,4,1,1,2,-4,-4,-4,-4,-4,-4,-4
92,10,2,2,-2,-2,1,0,0,-4,-4,1,4,1983,1,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
93,2,2,2,1,2,-4,0,1,-4,-4,1,9,1983,1,4,1,1,2,2,2,2,8,5,-6,-7
94,5,2,2,2,2,-4,1,1,3,50,2,9,1980,4,2,4,1,1,2,2,2,7,-3,-6,-7
95,1,1,3,1,1,1,0,0,-4,-4,1,7,1982,1,4,1,1,2,-4,-4,-4,-4,-4,-4,-4
96,2,1,2,3,2,1,0,0,-4,-4,1,7,1982,1,4,3,1,4,-4,-4,-4,-4,-4,-4,-4
97,1,2,3,3,2,-4,0,1,-4,100,1,6,1980,1,4,1,1,2,2,2,2,8,5,-6,-7
98,0,2,2,1,1,-4,0,1,-4,-3,1,1,1980,1,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
99,4,1,3,-2,1,2,0,1,-4,-4,1,6,1982,2,7,1,1,2,2,1,2,8,3,-6,-7
100,6,1,1,4,2,-4,0,0,-4,15,2,1,1981,4,2,1,1,1,2,2,2,9,-3,300,176
101,9,4,2,5,3,-4,0,0,-4,-2,2,7,1981,4,6,1,1,1,2,2,2,8,-3,-6,-7
102,10,2,3,4,3,5,1,1,-4,-4,2,4,1982,1,5,1,1,2,2,2,2,4,3,-6,250
103,0,2,3,3,1,6,1,0,-4,-4,2,11,1983,1,5,2,1,2,2,2,2,4,4,300,252
104,4,2,3,4,4,-4,1,1,-4,100,2,11,1980,1,6,2,1,4,2,2,2,4,3,400,308
105,4,2,4,1,1,2,1,1,-4,-4,1,8,1983,1,6,2,1,4,2,2,2,6,3,400,296
106,4,3,2,3,4,-4,1,1,-4,80,1,11,1981,1,4,2,1,4,2,2,2,8,2,400,217
107,5,1,2,5,5,2,0,0,-4,-4,2,8,1982,1,6,2,1,4,2,2,1,4,3,400,356
108,5,2,1,1,1,2,0,0,-4,-4,1,9,1984,1,6,2,1,4,2,2,1,8,2,400,314
109,3,2,4,1,1,0,1,0,-4,-4,2,3,1982,1,6,4,1,4,2,2,1,8,-3,450,344
110,2,1,2,1,1,4,-1,0,-4,-4,2,2,1984,1,6,2,1,4,2,2,2,6,3,400,300
111,0,1,3,4,4,-4,1,1,-4,100,2,1,1981,6,5,2,1,4,-3,-3,-3,4,3,400,344
112,4,2,1,2,1,1,0,0,-4,-4,2,4,1984,1,4,1,1,4,2,2,2,6,3,300,310
113,2,1,1,3,4,2,0,1,-4,-4,1,4,1984,4,5,1,1,4,-4,-4,-4,-4,-4,-4,-4
114,1,2,3,4,3,7,1,1,-4,-4,2,7,1982,1,3,2,1,4,2,2,2,5,3,400,275
115,1,2,4,5,5,0,1,1,-4,-4,2,10,1984,1,3,1,1,2,-4,-4,-4,-4,-4,-4,-4
116,2,2,3,2,1,7,0,0,-4,-4,1,10,1984,4,4,1,2,1,2,2,2,5,2,450,249
117,3,2,3,2,1,3,0,0,-4,-4,1,10,1984,4,4,1,2,1,2,2,2,4,2,400,224
118,2,2,2,3,5,-4,0,1,-4,80,1,6,1980,1,4,1,1,4,2,2,2,4,3,300,243
119,0,2,3,3,1,2,1,0,-4,-4,1,9,1982,1,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
120,3,1,2,4,2,2,1,1,-4,-4,1,6,1982,5,3,1,1,4,-4,-4,-4,-4,-4,-4,-4
121,0,2,3,2,1,-4,1,1,-4,76,1,12,1981,1,4,2,1,4,2,2,1,4,2,400,248
122,0,1,2,1,1,2,1,0,-4,-4,1,6,1984,1,4,2,1,4,2,2,2,4,3,400,230
123,3,2,3,3,4,-4,0,1,-4,90,1,2,1980,1,4,1,1,4,2,2,2,4,2,400,300
124,4,2,1,3,1,1,0,0,-4,-4,1,2,1982,1,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
125,0,2,3,1,1,0,0,0,-4,-4,2,5,1984,1,5,2,1,4,-4,-4,-4,-4,-4,-4,-4
126,4,3,2,4,3,-4,1,1,-4,50,1,5,1981,4,5,1,1,4,2,2,2,4,3,300,202
127,4,2,2,3,2,2,0,0,-4,-4,2,3,1982,1,4,1,1,4,2,2,1,4,4,500,308
128,6,2,3,4,4,4,0,0,-4,-4,2,8,1982,4,3,1,1,4,2,2,1,4,4,500,343
129,1,1,3,3,1,-4,1,0,-4,100,2,8,1980,3,4,1,1,4,2,1,1,4,-3,520,359
130,1,2,3,4,2,-4,1,0,-4,100,2,7,1981,3,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
131,5,1,2,3,2,-4,0,0,-4,100,1,10,1980,1,3,2,1,4,2,2,1,4,2,500,337
132,2,2,2,3,3,3,0,0,-4,-4,1,2,1983,1,4,1,1,4,2,2,1,4,4,500,344
133,3,1,3,3,2,1,1,1,-4,-4,1,7,1982,1,4,1,1,4,2,2,1,4,4,400,321
134,3,2,2,1,1,2,0,0,-4,-4,1,4,1984,1,5,1,1,4,2,2,2,4,4,400,336
135,3,3,3,4,3,-4,1,1,-4,90,1,4,1981,4,2,1,1,4,2,2,2,5,3,500,339
136,10,2,2,3,1,2,0,0,-4,-4,2,9,1983,1,5,1,1,4,2,2,1,4,-3,400,355
137,-4,3,1,5,4,-4,0,1,-4,100,2,5,1980,4,2,1,1,4,2,2,2,2,-3,0,-7
138,10,1,3,1,1,2,0,1,-4,-4,1,4,1984,1,5,1,1,4,2,2,2,4,1,500,204
139,4,1,3,1,1,0,0,0,-4,-4,2,7,1984,1,4,1,1,4,2,2,1,4,-3,400,362
140,5,2,3,1,1,1,0,0,-4,-4,1,12,1983,2,5,1,1,2,-4,-4,-4,-4,-4,-4,-4
141,8,2,1,4,5,-4,1,1,-4,100,2,1,1980,1,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
142,3,2,1,4,2,-4,1,1,-4,100,2,1,1981,4,5,1,1,4,2,2,2,4,3,300,272
143,5,2,3,1,1,-4,1,0,-4,85,1,8,1981,1,5,2,1,1,2,2,2,4,2,400,246
144,0,2,1,5,4,4,0,0,-4,-4,1,8,1982,2,5,1,1,1,2,2,1,4,3,400,238
145,3,2,2,2,2,5,0,1,-4,-4,1,4,1984,2,5,1,1,1,2,2,2,4,3,500,232
146,2,1,2,1,1,3,0,0,-4,-4,1,7,1984,1,4,1,1,1,-4,-4,-4,-4,-4,-4,-4
147,6,1,4,1,1,9,0,0,-4,-4,2,2,1984,1,3,2,1,4,2,2,1,3,-3,300,169
148,6,4,1,3,5,3,1,1,-4,-4,2,10,1982,4,5,1,1,1,2,2,2,4,2,200,258
149,10,2,1,2,1,5,0,0,-4,-4,2,4,1983,4,5,1,1,1,2,2,2,4,2,300,239
150,1,2,4,1,1,10,1,1,-4,-4,1,2,1984,4,5,1,1,1,2,2,2,4,-3,300,200
151,2,3,4,5,5,2,0,1,-4,-4,2,1,1982,9,5,1,1,1,2,2,2,4,2,150,224
152,6,2,1,1,1,1,1,1,-4,-4,1,5,1982,1,5,2,1,1,2,2,2,4,2,150,220
153,15,2,3,4,3,-4,1,1,-4,100,2,2,1980,2,5,1,1,1,-3,2,2,4,-3,300,263
154,5,2,1,3,3,-4,1,1,-4,100,1,6,1980,1,4,1,1,4,2,2,1,4,-3,400,273
155,5,2,1,3,2,-4,1,1,-4,100,1,2,1980,1,4,1,1,4,2,2,1,4,4,400,350
156,5,2,2,3,2,2,0,1,-4,-4,1,11,1982,1,4,1,1,4,2,2,1,4,4,500,360
157,3,1,4,3,3,4,0,0,-4,-4,2,3,1982,1,4,4,1,2,2,2,2,4,-3,320,374
158,0,2,2,1,1,1,0,0,-4,-4,1,12,1984,1,5,1,1,2,2,2,1,4,3,150,386
159,-4,2,2,1,4,-4,1,1,2,10,2,1,1980,1,5,1,1,2,2,2,2,4,1,300,212
160,40,2,1,5,4,-4,1,1,-4,50,2,1,1981,4,5,1,1,2,2,2,2,1,-3,-8,-8
161,5,3,1,3,3,3,1,1,-4,-4,1,1,1982,4,5,1,1,2,1,-3,-3,4,2,83,256
162,3,2,3,4,3,-4,0,0,-4,100,2,8,1981,4,5,1,1,1,2,2,1,4,-3,400,287
163,2,1,3,3,4,1,1,1,-4,-4,1,2,1983,4,5,1,1,1,-4,-4,-4,-4,-4,-4,-4
164,24,2,2,3,3,-4,1,1,-4,75,2,7,1981,1,5,1,1,4,2,2,2,6,4,0,327
165,2,2,3,3,3,-4,0,1,-4,100,1,4,1980,1,5,1,1,4,2,2,1,4,4,400,345
166,6,2,2,3,3,2,1,1,-4,-4,2,9,1982,1,5,1,1,4,-3,-3,2,5,4,400,378
