"R0000100","R0069300","R0069400","R0069600","R0070400","R0070500","R0074300","R0357900","R0358300","R0504200","R0515100","R0536300","R0536401","R0536402","R1205300","R1205400","R1211000","R1217500","R1482600","R9788600","R9788700","R9788800","R9788900","R9793100","R9864300","R9871900"
960,3,1,2,2,1,-4,0,0,-4,80,1,2,1980,1,4,2,1,4,-3,-3,-3,8,2,400,306
961,0,1,3,1,1,2,0,0,-4,-4,2,5,1984,1,3,1,1,4,-4,-4,-4,-4,-4,-4,-4
962,0,2,2,2,2,-4,0,1,-4,45,1,1,1980,1,5,1,1,4,2,2,-3,9,3,150,212
963,1,2,2,1,1,3,0,0,3,-4,1,10,1984,1,5,3,1,4,-4,-4,-4,-4,-4,-4,-4
964,2,2,3,3,3,1,0,1,-4,-4,2,10,1982,1,4,1,1,2,2,2,1,8,-3,400,363
965,0,2,2,2,1,4,0,0,-4,-4,2,3,1984,1,5,1,1,2,-4,-4,-4,-4,-4,-4,-4
966,8,1,2,1,1,1,0,0,-4,-4,2,11,1984,1,8,1,1,4,2,2,2,10,5,300,293
967,2,2,2,1,1,1,0,0,-4,-4,2,5,1982,1,4,2,1,3,2,2,1,8,-3,400,284
968,1,2,3,2,3,-4,0,1,-4,85,1,6,1981,1,5,1,1,4,2,2,1,8,4,400,290
969,0,2,2,2,2,3,0,0,-4,-4,2,9,1984,1,5,1,1,4,-4,-4,-4,-4,-4,-4,-4
970,0,2,2,2,1,1,0,0,-4,-4,1,2,1983,1,4,4,1,4,2,2,1,3,-3,300,362
971,0,2,4,1,1,-3,0,0,-4,-4,2,1,1983,1,4,1,1,4,2,2,1,8,-3,400,345
972,8,2,3,2,3,2,1,1,-4,-4,1,5,1982,1,5,1,1,4,-4,-4,-4,-4,-4,-4,-4
973,1,2,2,2,1,2,0,0,-4,-4,1,4,1984,1,5,1,1,2,-4,-4,-4,-4,-4,-4,-4
974,5,2,3,1,1,0,0,0,-4,-4,1,11,1982,1,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
975,2,2,2,3,3,-4,1,1,-4,50,1,11,1980,1,5,1,1,4,1,2,2,8,-3,300,261
976,2,2,2,2,4,-4,1,1,-4,75,1,11,1981,1,5,1,1,4,2,2,2,9,-3,250,232
977,7,3,2,2,2,2,1,0,-4,-4,1,6,1982,2,3,1,1,4,-4,-4,-4,-4,-4,-4,-4
978,1,1,4,1,1,-4,0,0,-4,90,1,8,1980,1,4,1,1,4,2,2,1,11,-3,450,347
979,1,1,2,1,1,1,0,0,-4,-4,2,7,1982,1,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
980,6,1,3,3,4,2,1,1,-4,-4,1,10,1982,1,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
981,3,1,2,4,3,-4,1,1,-4,100,1,3,1981,5,3,1,1,4,2,2,2,6,-3,100,238
982,4,2,3,1,1,1,0,0,-4,-4,1,1,1982,4,3,1,1,4,-4,-4,-4,-4,-4,-4,-4
983,3,2,2,1,1,2,1,0,-4,-4,2,10,1984,1,5,1,1,2,2,2,2,9,4,400,343
984,10,2,3,1,1,-4,1,1,-4,95,2,7,1981,2,4,2,1,2,-4,-4,-4,-4,-4,-4,-4
985,23,3,2,5,4,-4,1,1,2,0,2,11,1981,1,6,4,1,2,2,2,2,5,2,70,220
986,-4,-4,-4,4,4,-4,1,1,-4,100,2,8,1980,4,3,-4,1,4,2,2,2,5,-3,200,252
987,50,2,1,3,5,1,1,1,-4,-4,1,1,1983,4,3,1,1,2,2,2,2,8,-3,210,175
988,4,2,4,1,1,2,0,0,-4,-4,2,5,1983,4,4,2,1,4,2,2,2,8,-3,300,400
989,3,2,2,1,1,2,0,0,-4,-4,2,6,1983,1,5,1,1,4,2,2,2,9,-3,500,293
990,0,1,3,1,3,-4,1,1,-4,75,1,10,1981,3,6,1,1,4,2,2,2,10,-3,300,283
991,5,2,3,3,2,-4,1,1,-4,100,1,1,1980,6,2,1,1,4,2,1,2,6,-3,200,306
992,3,2,3,4,4,1,1,1,-4,-4,2,2,1983,4,2,1,1,4,2,2,2,10,-3,250,158
993,1,3,2,3,4,-4,1,1,-4,100,2,12,1981,3,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
994,10,2,2,2,1,0,0,1,-4,-4,1,4,1983,2,6,1,1,4,-4,-4,-4,-4,-4,-4,-4
995,-4,2,3,5,5,-4,0,1,-4,20,2,5,1980,4,3,4,1,2,-4,-4,-4,-4,-4,-4,-4
996,2,2,1,5,3,-4,1,0,-4,100,2,7,1981,1,6,1,1,4,2,2,2,8,4,350,292
997,2,2,1,2,2,-4,1,1,-4,90,1,6,1980,1,3,1,1,4,-3,-3,-3,8,-3,400,256
998,2,3,2,3,3,1,1,1,-4,-4,1,12,1982,1,4,1,1,1,-3,-3,-3,13,-3,200,198
999,3,2,2,3,1,4,0,1,-4,-4,1,12,1982,1,4,1,1,4,2,2,2,8,3,150,269
1000,30,2,1,5,2,-4,1,1,3,100,1,4,1981,10,5,1,1,4,-3,-3,-3,10,-3,400,321
1001,1,2,1,3,4,1,1,1,3,-4,1,6,1982,7,5,1,1,1,-4,-4,-4,-4,-4,-4,-4
1002,2,2,2,4,4,3,1,0,3,-4,1,8,1984,7,5,1,1,1,2,2,2,16,2,210,263
1003,5,2,3,3,2,-3,0,1,-4,-4,2,1,1982,1,6,1,1,4,-3,-3,-3,13,-3,210,254
1004,1,2,1,5,4,-4,0,0,3,-4,1,9,1984,1,6,1,1,4,-3,-3,-3,13,-3,400,230
1005,1,4,3,3,1,-4,0,0,-4,-4,1,10,1982,2,9,1,1,4,-4,-4,-4,-4,-4,-4,-4
1006,12,1,2,2,1,2,0,0,-4,-4,1,11,1984,2,9,1,1,4,2,1,2,8,5,200,201
1007,1,2,1,3,1,3,1,0,-4,-4,1,7,1983,1,7,1,1,4,-4,-4,-4,-4,-4,-4,-4
1008,15,2,2,5,4,-4,1,1,-4,50,2,5,1980,1,4,1,1,4,-3,-3,-3,8,-3,300,320
1009,2,2,2,2,2,6,0,0,-4,-4,1,5,1982,1,4,1,1,4,-3,-3,-3,8,-3,400,377
1010,1,3,1,3,1,3,0,0,-4,-4,2,11,1983,1,7,1,1,4,2,2,2,8,-3,200,288
1011,10,3,2,3,2,-4,1,1,-4,78,1,8,1981,1,5,1,1,4,2,2,2,8,4,250,318
1012,10,2,2,1,1,2,0,0,-4,-4,1,8,1983,1,5,2,1,4,-4,-4,-4,-4,-4,-4,-4
1013,3,1,3,1,1,7,0,0,-4,-4,1,4,1983,1,5,2,1,1,-3,-3,-3,9,-3,400,374
1014,3,2,4,2,3,0,1,1,-4,-4,1,7,1982,1,6,1,1,4,2,2,2,8,-3,200,272
1015,2,2,1,2,1,2,0,0,-4,-4,1,8,1983,1,6,1,1,4,-4,-4,-4,-4,-4,-4,-4
1016,2,1,1,2,1,-4,0,1,-4,40,1,1,1980,4,5,1,1,4,-3,-3,-3,8,-3,400,310
1017,4,1,1,2,1,3,0,0,-4,-4,2,3,1984,4,5,1,1,4,2,2,2,9,-3,300,266
1018,1,2,1,1,1,2,0,1,-4,-4,1,11,1982,2,4,1,1,4,2,1,2,8,-3,300,343
1019,0,1,1,2,2,4,0,0,-4,-4,1,5,1983,1,5,1,1,4,-3,-3,-3,8,-3,400,369
1020,10,2,1,4,3,-4,0,0,-4,90,1,11,1981,2,4,1,1,4,1,2,2,8,4,300,270
1021,2,1,3,2,1,0,0,0,-4,-4,2,10,1984,1,5,1,1,4,-4,-4,-4,-4,-4,-4,-4
1022,4,2,2,3,3,-4,0,1,-4,100,2,12,1981,4,5,1,1,4,2,2,2,10,-3,300,259
1023,8,2,2,1,1,1,0,0,-4,-4,2,12,1983,1,4,1,1,2,-4,-4,-4,-4,-4,-4,-4
1024,15,2,3,3,2,-4,0,1,-4,99,2,4,1981,2,5,1,1,4,2,2,2,8,3,300,375
1025,3,2,2,1,2,-4,1,0,-4,80,1,3,1981,1,4,2,1,4,2,2,2,9,2,400,252
1026,4,2,1,4,3,-4,0,1,-4,50,1,11,1980,2,7,2,1,4,2,2,2,5,3,300,279
1027,1,2,2,4,2,-4,1,1,-4,90,1,8,1981,1,7,4,1,4,2,2,2,4,-3,300,189
1028,4,2,2,3,1,0,0,0,-4,-4,1,8,1983,1,7,1,1,4,-4,-4,-4,-4,-4,-4,-4
1029,30,3,3,4,2,2,1,1,-4,-4,2,4,1982,5,3,1,1,4,2,2,2,2,-3,0,208
1030,6,2,2,4,2,-4,0,0,-4,52,1,11,1981,5,3,2,1,4,2,2,2,4,4,300,303
1031,3,2,3,3,1,3,0,0,-4,-4,1,3,1982,2,3,1,1,1,-4,-4,-4,-4,-4,-4,-4
1032,2,1,3,1,1,4,0,0,-4,-4,1,8,1982,8,4,1,1,1,2,2,2,6,-3,400,249
1033,6,2,3,2,1,2,0,0,-4,-4,2,10,1983,8,4,1,1,1,2,2,2,3,-3,0,-7
1034,19,2,1,5,4,-4,1,1,-4,-4,1,6,1982,4,4,1,1,1,2,2,2,4,-3,100,211
1035,5,2,2,2,2,-4,0,0,-4,90,2,10,1981,4,3,1,1,1,-4,-4,-4,-4,-4,-4,-4
1036,0,3,1,2,1,1,1,0,-4,-4,1,3,1984,4,5,3,1,1,2,2,2,4,-3,400,238
1037,9,3,3,1,1,6,1,1,-4,-4,1,9,1982,10,5,1,1,1,2,2,2,2,-3,-8,-8
1038,42,4,2,1,1,3,1,0,-4,-4,1,1,1984,10,5,1,1,1,-3,-3,-3,3,-3,50,367
1039,4,2,2,2,1,3,0,0,-4,-4,2,6,1984,2,7,1,1,1,2,2,2,7,-3,100,247
1040,10,2,3,3,3,-4,1,1,-4,70,2,12,1981,4,3,1,1,1,-4,-4,-4,-4,-4,-4,-4
1041,1,2,2,2,2,-4,1,0,-4,100,1,3,1981,4,5,1,1,1,-4,-4,-4,-4,-4,-4,-4
1042,5,2,2,5,2,2,0,0,-4,-4,2,9,1982,4,5,1,1,1,2,2,2,8,3,300,237
1043,1,2,2,1,1,-4,0,0,-4,75,2,8,1980,4,6,4,1,1,-4,-4,-4,-4,-4,-4,-4
1044,3,2,3,1,1,1,0,0,-4,-4,1,7,1983,4,6,1,1,1,-4,-4,-4,-4,-4,-4,-4
1045,3,3,1,4,4,-4,0,0,-4,100,2,8,1980,4,4,1,1,1,2,2,2,3,-3,100,183
1046,3,2,2,1,1,6,0,0,-4,-4,1,6,1983,4,4,1,1,1,2,2,2,6,-3,200,171
1047,15,2,3,5,5,-4,1,1,-4,100,2,6,1980,4,4,1,1,1,2,2,2,4,-3,-6,-7
1048,4,1,2,2,2,5,0,0,-4,-4,2,4,1983,4,3,1,1,1,2,2,2,4,-3,400,247
1049,16,2,2,1,1,3,1,1,-4,-4,1,8,1983,4,3,1,1,2,2,2,2,4,-3,0,280
1050,20,2,1,4,2,-4,0,0,-4,80,2,1,1981,4,6,1,1,1,2,2,2,6,3,400,192
1051,5,1,4,1,1,1,1,0,-4,-4,1,3,1982,4,6,1,1,1,2,2,2,4,-3,126,272
1052,12,2,3,5,5,1,1,1,-4,-4,2,8,1983,4,4,1,1,1,-4,-4,-4,-4,-4,-4,-4
1053,19,3,1,4,3,-4,0,0,-4,85,1,12,1981,4,3,1,1,1,2,2,2,5,-3,300,198
1054,13,2,4,2,1,3,0,1,-4,-4,2,1,1983,4,3,1,1,1,2,2,2,5,-3,200,283
1055,3,1,3,1,1,1,0,0,-4,-4,2,11,1982,4,5,1,1,1,2,2,2,4,-3,300,253
1056,15,2,3,3,2,-4,0,0,-4,100,2,1,1980,4,5,4,1,1,2,2,2,5,-3,350,256
1057,0,3,4,4,2,-4,0,0,-4,100,2,6,1981,4,5,1,1,1,2,2,2,4,-3,300,282
1058,11,2,2,4,2,1,0,0,-4,-4,1,3,1982,4,2,1,1,1,-4,-4,-4,-4,-4,-4,-4
1059,2,2,3,1,1,2,0,0,-4,-4,1,11,1984,4,3,3,1,1,2,2,2,4,1,417,238
1060,6,1,3,2,1,4,0,0,-4,-4,2,3,1984,4,2,1,2,1,2,2,2,4,2,300,347
1061,2,2,3,3,2,3,0,0,-4,-4,2,9,1983,4,4,1,1,1,2,2,2,5,3,400,287
1062,7,1,3,4,2,-4,0,1,-4,0,1,2,1981,4,2,1,1,1,2,2,2,5,-3,500,232
1063,20,3,2,3,4,4,1,1,-4,-4,1,12,1982,1,4,1,1,1,-4,-4,-4,-4,-4,-4,-4
1064,3,3,2,3,4,-4,0,0,-4,100,2,1,1981,1,3,4,1,1,-4,-4,-4,-4,-4,-4,-4
1065,1,2,3,3,3,-4,0,0,-4,100,1,8,1980,1,5,1,1,1,2,2,2,4,-3,300,282
1066,6,2,2,3,1,2,0,0,-4,-4,2,2,1984,1,5,1,1,1,-3,-3,-3,1,-3,-8,-8
1067,20,1,4,2,1,2,1,0,-4,-4,2,5,1983,1,7,1,1,2,-4,-4,-4,-4,-4,-4,-4
1068,5,2,2,1,1,1,1,0,-4,-4,1,8,1984,1,7,1,1,2,-4,-4,-4,-4,-4,-4,-4
1069,2,2,3,4,3,3,1,1,-4,-4,1,11,1982,1,5,2,1,4,-4,-4,-4,-4,-4,-4,-4
1070,1,2,2,3,2,-4,0,1,-4,50,2,10,1981,3,5,1,1,1,2,2,2,5,3,300,258
1071,5,1,2,1,1,2,0,1,-4,-4,1,6,1984,1,4,1,1,2,-4,-4,-4,-4,-4,-4,-4
1072,9,2,1,4,4,-4,0,1,-4,100,1,9,1980,4,3,4,1,1,2,2,2,4,2,400,275
1073,2,2,3,3,3,-4,1,1,-4,100,2,3,1981,1,4,2,1,4,2,2,2,4,2,400,361
1074,0,1,3,3,2,2,0,0,-4,-4,1,1,1983,1,4,2,1,4,2,2,2,4,-3,500,326
1075,5,1,1,5,3,1,1,0,-4,-4,2,4,1983,8,3,1,1,1,2,2,2,4,3,425,232
1076,1,1,3,3,2,1,1,0,-4,-4,2,1,1982,1,5,2,1,4,2,2,2,4,2,400,308
1077,2,2,3,1,1,2,0,1,-4,-4,2,11,1983,1,5,2,1,4,2,2,2,4,2,400,382
1078,0,2,2,2,1,3,0,0,-4,-4,1,9,1983,1,4,1,1,4,2,2,2,5,3,425,189
1079,1,2,2,3,2,-4,0,1,-4,100,1,11,1980,1,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
1080,1,2,3,4,4,4,0,0,-4,-4,2,7,1983,1,4,1,1,4,2,2,1,5,3,400,294
1081,2,2,2,2,1,3,0,0,-4,-4,1,11,1983,1,4,2,1,4,-3,-3,-3,4,-3,400,376
1082,6,1,2,2,1,1,0,0,-4,-4,2,12,1982,1,4,2,1,4,2,2,1,4,-3,400,329
1083,5,2,2,4,3,-4,1,1,-4,99,2,2,1980,1,4,2,1,4,2,2,1,4,4,400,322
1084,0,1,3,3,2,3,1,1,-4,-4,2,6,1982,1,4,2,1,4,2,2,2,4,-3,400,302
1085,10,2,1,5,3,-4,0,1,-4,50,1,11,1980,1,5,1,1,4,-4,-4,-4,-4,-4,-4,-4
1086,1,2,3,1,1,1,0,0,-4,-4,1,7,1983,1,5,1,1,4,-4,-4,-4,-4,-4,-4,-4
1087,1,1,3,4,3,-4,0,0,-4,100,2,1,1981,1,5,1,1,2,-4,-4,-4,-4,-4,-4,-4
1088,7,2,3,1,1,1,1,1,-4,-4,2,5,1984,1,5,1,1,4,-4,-4,-4,-4,-4,-4,-4
1089,5,3,2,3,2,-4,1,1,-4,100,1,11,1980,4,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
1090,6,2,2,3,3,1,0,0,-4,-4,1,11,1982,4,4,1,1,4,-4,-4,-4,-4,-4,-4,-4
1091,3,2,1,4,3,-4,0,0,-4,94,2,10,1980,5,3,1,1,4,-4,-4,-4,-4,-4,-4,-4
1092,1,2,3,3,3,1,1,1,-4,-4,2,12,1982,5,3,1,1,4,-3,-3,-3,4,-3,400,321
1093,0,2,1,3,1,3,1,1,-4,-4,1,5,1982,2,5,1,1,2,2,2,2,4,2,400,311
1094,15,2,2,1,1,-4,0,0,-4,50,1,7,1980,1,4,2,1,1,-4,-4,-4,-4,-4,-4,-4
1095,5,1,2,1,1,1,0,0,-4,-4,1,1,1982,1,4,2,1,1,-4,-4,-4,-4,-4,-4,-4
1096,0,2,3,1,1,2,0,0,-4,-4,2,9,1984,4,5,1,2,1,-4,-4,-4,-4,-4,-4,-4
1097,8,3,2,5,3,-4,0,1,-4,100,1,9,1980,5,5,1,1,1,-4,-4,-4,-4,-4,-4,-4
1098,6,2,1,4,5,5,0,1,-4,-4,2,1,1983,5,5,1,1,1,-4,-4,-4,-4,-4,-4,-4
1099,30,4,3,5,5,-4,0,1,3,3,2,2,1980,8,4,1,1,1,-4,-4,-4,-4,-4,-4,-4
1100,6,2,2,5,5,8,0,1,-4,-4,2,2,1982,4,3,2,1,1,-4,-4,-4,-4,-4,-4,-4
1101,15,4,2,1,1,6,1,0,3,-4,2,6,1982,4,11,4,1,1,-4,-4,-4,-4,-4,-4,-4
1102,0,1,2,1,5,0,0,1,-4,-4,2,2,1984,4,11,1,1,1,-4,-4,-4,-4,-4,-4,-4
1103,2,2,3,1,2,2,0,0,-4,-4,2,10,1984,4,6,1,1,2,-4,-4,-4,-4,-4,-4,-4
1104,8,2,2,5,3,-4,1,1,-4,75,2,11,1981,1,5,2,1,4,-4,-4,-4,-4,-4,-4,-4
1105,8,2,3,1,1,-4,1,1,-4,-4,2,9,1983,1,5,2,1,4,2,2,2,4,3,400,248
1106,4,3,1,5,5,-4,0,1,-4,45,1,8,1980,4,5,1,1,4,-4,-4,-4,-4,-4,-4,-4
1107,2,2,3,1,1,5,1,0,-4,-4,2,11,1982,4,5,1,1,4,-4,-4,-4,-4,-4,-4,-4
1108,2,2,3,4,2,1,1,1,-4,-4,1,8,1983,4,4,1,1,3,2,2,1,8,2,400,337
1109,2,2,2,1,1,2,0,0,-4,-4,2,8,1984,1,4,2,1,4,2,2,2,6,3,400,362
1110,0,2,1,4,3,-4,0,0,-4,100,1,3,1981,1,4,1,0,4,-4,-4,-4,-4,-4,-4,-4
1111,2,2,2,1,1,2,0,1,-4,-4,1,11,1984,1,4,1,0,4,2,2,1,3,-3,250,310
1112,3,2,2,1,1,-4,0,0,-4,100,1,10,1981,1,4,2,0,4,2,2,2,4,1,400,341
1113,2,2,3,2,2,-4,1,1,-4,70,1,3,1981,2,3,1,0,4,-3,-3,-3,4,2,400,348
1114,2,2,3,3,2,2,0,0,-4,-4,2,1,1983,2,5,1,0,2,2,2,2,5,-3,200,284
1115,2,2,3,4,3,6,0,1,-4,-4,1,9,1982,1,4,1,0,4,-4,-4,-4,-4,-4,-4,-4
1116,1,2,2,1,1,1,0,0,-4,-4,2,7,1983,1,4,2,0,4,2,2,1,4,3,500,389
1117,1,2,2,1,1,2,0,0,-4,-4,1,12,1984,1,4,2,0,4,2,2,2,4,1,400,316
1118,2,1,2,4,5,-4,1,1,-4,100,2,2,1980,1,4,1,1,4,2,2,2,4,5,300,303
1119,2,2,1,2,1,2,0,0,-4,-4,2,12,1983,1,4,1,1,2,-4,-4,-4,-4,-4,-4,-4
1120,1,2,3,4,3,-4,1,1,-4,99,2,7,1980,1,3,1,1,4,2,2,2,4,5,400,381
1121,10,3,3,3,3,1,1,1,-4,-4,2,7,1984,2,4,1,1,4,2,2,2,4,5,300,302
1122,3,2,2,2,3,-4,1,1,-4,95,1,7,1980,1,4,1,1,4,2,-2,1,4,5,300,383
1123,1,2,3,1,1,3,0,0,-4,-4,2,11,1984,1,4,1,1,4,2,2,2,7,5,300,329
1124,15,3,2,5,1,4,0,1,-4,-4,1,9,1982,4,4,1,1,2,-3,-3,-3,1,-3,0,-7
1125,0,3,2,1,1,5,1,0,-4,-4,1,5,1983,9,2,2,1,1,2,2,2,9,2,300,249
1126,8,2,2,3,3,-4,0,0,-4,100,1,7,1980,2,6,1,1,1,2,2,2,4,5,400,269
1127,7,2,2,3,3,5,1,1,-4,-4,2,8,1982,2,6,1,1,1,-4,-4,-4,-4,-4,-4,-4
1128,6,1,2,1,1,3,0,0,-4,-4,2,11,1984,4,6,2,1,1,2,2,2,6,-3,300,233
1129,3,2,3,1,1,2,1,1,-4,-4,1,5,1983,4,4,1,0,4,-4,-4,-4,-4,-4,-4,-4
1130,3,2,2,1,1,2,1,0,-4,-4,1,10,1984,4,4,1,0,4,-4,-4,-4,-4,-4,-4,-4
1131,3,2,2,2,1,1,0,0,-4,-4,1,5,1983,1,4,1,0,4,-4,-4,-4,-4,-4,-4,-4
1132,11,1,2,4,4,-4,1,1,-4,100,2,2,1981,4,3,1,0,4,1,2,2,4,4,300,243
1133,2,2,3,2,2,0,1,1,-4,-4,2,12,1982,1,4,1,0,4,-4,-4,-4,-4,-4,-4,-4
1134,2,2,2,1,1,2,0,0,-4,-4,2,12,1984,1,4,1,0,4,-4,-4,-4,-4,-4,-4,-4
1135,3,2,2,2,1,1,0,0,-4,-4,1,3,1984,1,5,1,0,4,2,2,2,4,3,400,267
1136,3,3,2,4,4,-4,1,1,-4,20,1,6,1981,4,3,1,0,4,-4,-4,-4,-4,-4,-4,-4
1137,1,1,3,1,1,-4,0,1,-4,95,1,2,1981,2,3,1,1,4,2,2,1,4,5,300,336
1138,2,2,4,5,3,-4,1,1,-4,50,2,6,1981,1,4,1,1,4,2,2,2,4,5,400,300
1139,2,2,2,1,1,1,0,0,-4,-4,2,3,1983,1,4,2,1,4,-4,-4,-4,-4,-4,-4,-4
1140,0,1,3,1,1,3,0,0,-4,-4,1,3,1984,1,3,1,1,4,2,2,1,4,5,400,370
1141,2,2,3,2,1,2,0,0,-4,-4,1,3,1983,1,3,1,0,4,-4,-4,-4,-4,-4,-4,-4
1142,7,2,2,3,2,-4,0,1,-4,20,1,7,1980,4,4,1,0,4,-4,-4,-4,-4,-4,-4,-4
1143,2,1,2,5,4,1,1,0,-4,-4,2,6,1982,4,4,1,0,4,-4,-4,-4,-4,-4,-4,-4
1144,20,2,3,3,3,1,1,1,-4,-4,2,7,1983,4,4,1,0,4,-4,-4,-4,-4,-4,-4,-4
1145,1,1,3,3,2,2,0,0,-4,-4,2,10,1982,1,4,1,0,4,2,2,2,5,-3,400,336
1146,0,2,2,3,1,1,0,0,-4,-4,2,11,1984,1,4,1,0,4,-4,-4,-4,-4,-4,-4,-4
1147,0,2,3,2,2,-4,0,1,-4,95,1,2,1980,1,9,1,0,4,-4,-4,-4,-4,-4,-4,-4
1148,4,2,2,4,2,-4,0,1,-4,100,2,3,1981,1,9,1,0,4,-4,-4,-4,-4,-4,-4,-4
1149,0,2,1,3,2,1,0,0,-4,-4,2,8,1983,1,9,1,0,4,-4,-4,-4,-4,-4,-4,-4
1150,-2,1,2,1,1,2,0,1,-4,-4,1,10,1984,4,2,1,0,4,2,2,2,3,-3,300,325
1151,2,2,3,2,1,2,1,0,-4,-4,2,11,1984,4,5,1,0,4,-4,-4,-4,-4,-4,-4,-4
1152,4,3,2,5,4,-4,1,1,-4,40,2,10,1980,1,4,1,0,2,-4,-4,-4,-4,-4,-4,-4
1153,0,2,2,3,2,-3,0,1,-4,-4,2,1,1983,1,4,1,0,2,-4,-4,-4,-4,-4,-4,-4
1154,1,2,4,2,1,2,0,0,-4,-4,2,8,1983,2,5,1,0,4,-4,-4,-4,-4,-4,-4,-4
1155,15,2,3,4,2,4,1,0,-4,-4,1,11,1982,1,4,1,1,4,1,2,2,4,3,300,234
1156,0,1,1,1,1,2,0,0,-4,-4,2,1,1984,1,4,1,1,4,2,2,2,4,3,300,234
1157,5,1,1,5,3,-4,0,0,-4,100,1,5,1980,1,4,1,1,2,2,2,2,4,3,400,237
1158,4,2,3,4,3,-4,0,1,-4,100,1,7,1981,1,5,1,1,4,2,2,2,6,3,400,331
1159,13,4,3,2,1,2,1,1,-4,-4,1,12,1982,1,6,1,1,4,1,2,2,5,-3,300,264
1160,0,2,3,4,4,1,0,0,-4,-4,2,10,1982,1,5,1,1,4,2,2,2,4,5,600,372
1161,9,2,2,2,1,-4,1,1,-4,25,1,7,1981,1,4,1,1,4,2,2,2,4,3,300,257
1162,2,2,3,3,3,-4,1,1,-4,90,1,8,1980,2,6,1,1,4,2,2,2,4,3,500,296
1163,4,2,3,1,1,4,0,1,-4,-4,1,8,1983,3,6,2,1,4,2,2,2,4,4,400,287
1164,3,1,1,2,2,2,0,0,-4,-4,1,10,1982,4,4,1,1,4,2,2,2,4,4,500,276
1165,8,2,3,4,1,1,0,0,-4,-4,2,10,1983,4,4,1,1,4,2,2,2,4,4,400,279
1166,10,2,4,4,4,-4,1,1,-4,50,2,1,1980,2,3,1,1,4,2,2,2,5,3,400,268
1167,4,2,3,3,3,-4,1,1,-4,95,1,1,1980,1,6,1,1,4,2,2,1,4,3,300,249
1168,0,3,4,5,3,-4,1,1,-4,100,1,6,1981,1,6,1,1,4,2,2,2,3,-3,200,160
1169,2,2,1,2,2,3,0,0,-4,-4,2,11,1983,1,6,1,1,4,2,2,2,4,4,300,281
1170,0,2,3,4,2,-4,1,1,-4,100,1,2,1981,1,5,1,1,4,2,2,1,4,3,400,335
1171,0,2,2,2,1,3,0,0,-4,-4,1,2,1984,1,5,1,1,4,2,2,1,4,4,500,335
1172,3,2,2,3,1,-4,0,0,-4,50,1,2,1981,4,4,1,1,4,1,2,2,4,4,300,218
1173,1,2,3,4,3,5,0,0,-4,-4,2,5,1983,4,4,1,1,4,2,2,2,4,4,450,357
1174,2,2,3,2,2,3,0,1,-4,-4,1,3,1983,4,2,2,1,4,-4,-4,-4,-4,-4,-4,-4
1175,3,1,3,2,2,1,0,1,-4,-4,2,1,1982,4,3,1,1,4,2,2,2,4,2,400,335
1176,10,2,2,3,2,1,0,0,-4,-4,1,2,1984,4,3,1,1,4,-4,-4,-4,-4,-4,-4,-4
1177,8,2,1,5,2,-4,0,0,-4,-4,2,7,1982,2,5,1,0,4,2,2,2,4,3,400,263
1178,0,2,2,2,3,2,1,1,-4,-4,1,7,1982,9,2,1,1,4,2,2,1,4,5,300,318
1179,30,2,1,5,2,4,0,0,-4,-4,1,8,1982,4,4,1,1,4,2,2,2,4,5,400,214
1180,29,2,2,3,1,2,0,0,-4,-4,1,1,1984,4,4,1,1,4,1,2,2,5,5,400,153
1181,0,2,3,2,-2,0,0,0,-4,-4,2,8,1982,1,4,1,1,4,2,2,1,4,5,300,319
1182,2,2,1,4,4,-4,1,0,-4,40,2,9,1980,1,5,1,1,4,2,2,2,5,4,300,290
1183,7,2,2,2,1,2,1,1,-4,-4,1,5,1982,1,5,1,1,4,2,2,2,4,5,300,230
1184,14,2,3,3,3,-4,1,1,-4,40,1,6,1980,4,3,1,1,2,2,2,1,4,5,400,273
1185,7,3,3,3,2,4,1,1,-4,-4,1,5,1983,4,3,1,1,2,2,2,1,4,5,400,289
1186,2,2,3,3,3,-4,1,1,-4,80,1,6,1980,1,6,1,1,4,2,2,2,4,4,400,302
1187,0,2,3,2,1,2,0,0,-4,-4,2,4,1983,1,6,1,1,2,2,2,2,4,5,400,368
1188,1,2,3,3,1,2,0,0,-4,-4,2,4,1983,1,6,1,1,4,2,2,2,4,5,400,344
1189,2,2,2,4,2,2,0,0,-4,-4,1,3,1982,1,4,2,1,4,2,2,1,8,3,400,372
1190,8,2,2,5,4,-4,1,1,-4,80,2,7,1981,4,3,1,1,2,-3,-3,-3,11,2,200,251
1191,4,2,2,4,3,-4,0,1,-4,60,1,11,1981,1,4,1,1,4,-3,-3,-3,8,2,200,271
1192,40,2,2,4,3,-4,1,1,3,30,1,2,1980,4,3,1,1,4,-3,-3,-3,3,-3,0,185
1193,3,1,2,3,1,2,0,1,-4,-4,1,10,1982,1,4,1,1,4,-3,-3,-3,8,2,250,267
1194,2,2,3,3,2,5,0,0,-4,-4,2,11,1984,1,4,1,1,4,-3,-3,-3,8,2,300,307
